"nm_code","ncomb","cuci_code","cuci","sector"
"        ","- Chaquetas (sacos)",,,
"        ","- Chaquetas (sacos)",,,
"        ","- Chaquetas (sacos)",,,
"        ","- Chaquetas (sacos)",,,
"        ","- Chasis de tractores de la partida 8701; chasis de vehículos automóviles de las partidas 8702, 8703 y 8704, con motor de émbolo (pistón), de encendido por compresión (diésel o semidiésel), de cilindrada superior a 2500 cm³, o con motor de émbolo (pistón), de encendido por chispa, de cilindrada superior a 2800 cm³",,,
"        ","- Cianuros y oxicianuros",,,
"        ","- Ciclánicos, ciclénicos o cicloterpénicos",,,
"        ","- Ciclánicos, ciclénicos o cicloterpénicos",,,
"        ","- Cierres de cremallera (cierres relámpago)",,,
"        ","- Cinc sin alear",,,
"        ","- Cincados de otro modo",,,
"        ","- Circonio en bruto; polvo",,,
"        ","- Circuitos electrónicos integrados",,,
"        ","- Cloratos",,,
"        ","- Cloruros y oxicloruros",,,
"        ","- Cobre refinado",,,
"        ","- Cocos",,,
"        ","- Colchas",,,
"        ","- Colchones",,,
"        ","- Colecciones y piezas de colección que tengan un interés numismático",,,
"        ","- Colecciones y piezas de colección que tengan un interés zoológico, botánico, mineralógico, anatómico o paleontológico",,,
"        ","- Combinaciones y enaguas",,,
"        ","- Combinaciones y enaguas",,,
"        ","- Compuestos cuya estructura contenga ciclos quinoleína o isoquinoleína, incluso hidrogenados, sin otras condensaciones",,,
"        ","- Compuestos cuya estructura contenga uno o más ciclos furano (incluso hidrogenado), sin condensar",,,
"        ","- Compuestos cuya estructura contenga uno o más ciclos imidazol (incluso hidrogenados), sin condensar",,,
"        ","- Compuestos cuya estructura contenga uno o más ciclos pirazol (incluso hidrogenados), sin condensar",,,
"        ","- Compuestos cuya estructura contenga uno o más ciclos piridina (incluso hidrogenados), sin condensar",,,
"        ","- Compuestos cuya estructura contenga uno o más ciclos pirimidina (incluso hidrogenado), o piperazina",,,
"        ","- Compuestos cuya estructura contenga uno o más ciclos triazina (incluso hidrogenado), sin condensar",,,
"        ","- Compuestos de plata",,,
"        ","- Con hilados de distintos colores",,,
"        ","- Con hilados de distintos colores",,,
"        ","- Con hilados de distintos colores",,,
"        ","- Con hilados de distintos colores",,,
"        ","- Con hilados de distintos colores",,,
"        ","- Con motor eléctrico incorporado",,,
"        ","- Con motor eléctrico incorporado",,,
"        ","- Con soporte",,,
"        ","- Con un contenido de carbono inferior al 0,25 % en peso",,,
"        ","- Con un contenido de fibras artificiales discontinuas inferior al 85 % en peso, mezcladas exclusiva o principalmente con algodón",,,
"        ","- Con un contenido de fibras artificiales discontinuas inferior al 85 % en peso, mezcladas exclusiva o principalmente con filamentos sintéticos o artificiales",,,
"        ","- Con un contenido de fibras artificiales discontinuas inferior al 85 % en peso, mezcladas exclusiva o principalmente con lana o pelo fino",,,
"        ","- Con un contenido de fibras artificiales discontinuas superior o igual al 85 % en peso",,,
"        ","- Con un contenido de fibras artificiales discontinuas superior o igual al 85 % en peso",,,
"        ","- Con un contenido de fibras discontinuas acrílicas o modacrílicas superior o igual al 85 % en peso",,,
"        ","- Con un contenido de fibras discontinuas acrílicas o modacrílicas superior o igual al 85 % en peso",,,
"        ","- Con un contenido de fibras discontinuas de nailon o demás poliamidas superior o igual al 85 % en peso",,,
"        ","- Con un contenido de fibras discontinuas de poliéster superior o igual al 85 % en peso",,,
"        ","- Con un contenido de fibras discontinuas de poliéster superior o igual al 85 % en peso",,,
"        ","- Con un contenido de lana o pelo fino superior o igual al 85 % en peso",,,
"        ","- Con un contenido de lana o pelo fino superior o igual al 85 % en peso",,,
"        ","- Con un contenido de lino inferior al 85 % en peso",,,
"        ","- Con un contenido de lino superior o igual al 85 % en peso",,,
"        ","- Con un contenido de materias grasas de la leche",,,
"        ","- Con un contenido de níquel inferior al 2,5 % en peso",,,
"        ","- Con un contenido de níquel superior o igual al 2,5 % en peso",,,
"        ","- Congelada",,,
"        ","- Congelados",,,
"        ","- Conjuntos",,,
"        ","- Conjuntos",,,
"        ","- Conjuntos",,,
"        ","- Conjuntos",,,
"        ","- Conjuntos de abrigo para entrenamiento o deporte (chándales)",,,
"        ","- Copolímeros de acetato de vinilo",,,
"        ","- Coque de petróleo",,,
"        ","- Correas de transmisión",,,
"        ","- Correas transportadoras",,,
"        ","- Cortadoras de césped",,,
"        ","- Cortadoras y arrancadoras, de carbón o rocas, y máquinas para hacer túneles o galerías",,,
"        ","- Cromo",,,
"        ","- Cruda",,,
"        ","- Cruda",,,
"        ","- Crudos",,,
"        ","- Crudos",,,
"        ","- Crudos",,,
"        ","- Crudos",,,
"        ","- Crudos o blanqueados",,,
"        ","- Crudos o blanqueados",,,
"        ","- Cuadradas o rectangulares",,,
"        ","- Cueros y pieles enteros",,,
"        ","- Cultivos de células, incluso modificadas",,,
"        ","- Cámaras de televisión, cámaras digitales y videocámaras",,,
"        ","- De acero al silicio llamado «magnético» (acero magnético al silicio)",,,
"        ","- De acero al silicio llamado «magnético» (acero magnético al silicio)",,,
"        ","- De aleaciones a base de cobre-cinc (latón)",,,
"        ","- De aleaciones a base de cobre-estaño (bronce)",,,
"        ","- De aleaciones de aluminio",,,
"        ","- De aleaciones de aluminio",,,
"        ","- De aleaciones de cobre",,,
"        ","- De aleaciones de cobre",,,
"        ","- De aleaciones de cobre",,,
"        ","- De aleaciones de cobre",,,
"        ","- De algodón",,,
"        ","- De algodón",,,
"        ","- De algodón",,,
"        ","- De aluminio sin alear",,,
"        ","- De aves de la especie Gallus domesticus",,,
"        ","- De aves de la partida 0105",,,
"        ","- De bambú",,,
"        ","- De capacidad inferior a 50 l",,,
"        ","- De caprino",,,
"        ","- De caucho celular",,,
"        ","- De caucho no celular",,,
"        ","- De celulosa o de sus derivados químicos",,,
"        ","- De cobre refinado",,,
"        ","- De cobre refinado",,,
"        ","- De coníferas",,,
"        ","- De fibras artificiales",,,
"        ","- De fibras artificiales",,,
"        ","- De fibras discontinuas acrílicas o modacrílicas",,,
"        ","- De fibras discontinuas de poliéster",,,
"        ","- De fibras sintéticas",,,
"        ","- De fibras sintéticas",,,
"        ","- De fibras sintéticas o artificiales",,,
"        ","- De filamentos sintéticos o artificiales",,,
"        ","- De ganso",,,
"        ","- De la especie bovina, congelados",,,
"        ","- De la especie porcina",,,
"        ","- De la especie porcina, congelados",,,
"        ","- De lana o pelo fino",,,
"        ","- De las demás materias textiles sintéticas o de materias textil artificiales",,,
"        ","- De los demás plásticos",,,
"        ","- De los tipos utilizados principalmente para la recuperación de metales preciosos",,,
"        ","- De madera",,,
"        ","- De maderas tropicales",,,
"        ","- De maderas tropicales",,,
"        ","- De materia textil sintética",,,
"        ","- De materia textil sintética o artificial",,,
"        ","- De materia vegetal",,,
"        ","- De materias textiles sintéticas o artificiales",,,
"        ","- De metal común, incluso plateado, dorado o platinado",,,
"        ","- De metal precioso, incluso revestido o chapado de metal precioso (plaqué)",,,
"        ","- De metal precioso, incluso revestido o chapado de metal precioso (plaqué)",,,
"        ","- De máquinas o aparatos de la partida 8428",,,
"        ","- De máquinas o aparatos de las partidas 8426, 8429 u 8430",,,
"        ","- De más de 100 años",,,
"        ","- De nailon o demás poliamidas",,,
"        ","- De nailon o demás poliamidas",,,
"        ","- De nailon o demás poliamidas",,,
"        ","- De otras materias",,,
"        ","- De otras materias textiles",,,
"        ","- De pato",,,
"        ","- De pavo (gallipavo)",,,
"        ","- De peso inferior o igual a 185 g",,,
"        ","- De peso inferior o igual a 200 g/m²",,,
"        ","- De peso superior a 200 g/m²",,,
"        ","- De policarbonatos, resinas alcídicas, poliésteres alílicos o demás poliésteres",,,
"        ","- De polietileno o polipropileno",,,
"        ","- De polímeros acrílicos",,,
"        ","- De polímeros de cloruro de vinilo",,,
"        ","- De porcino",,,
"        ","- De punto",,,
"        ","- De semillas de nabo (nabina) o de colza",,,
"        ","- De sisal o demás fibras textiles del género Agave",,,
"        ","- De sodio",,,
"        ","- De trefilería",,,
"        ","- De trigo",,,
"        ","- Derivados bromados o derivados yodados, de los hidrocarburos acíclicos",,,
"        ","- Derivados clorados de los hidrocarburos acíclicos no saturados",,,
"        ","- Derivados clorados de los hidrocarburos acíclicos saturados",,,
"        ","- Derivados fluorados de los hidrocarburos acíclicos no saturados",,,
"        ","- Derivados fluorados de los hidrocarburos acíclicos saturados",,,
"        ","- Derivados halogenados de los hidrocarburos acíclicos con dos halógenos diferentes, por lo menos",,,
"        ","- Derivados halogenados de los hidrocarburos aromáticos",,,
"        ","- Derivados halogenados de los hidrocarburos ciclánicos, ciclénicos o cicloterpénicos",,,
"        ","- Derivados halogenados, sulfonados, nitrados o nitrosados",,,
"        ","- Derivados halogenados, sulfonados, nitrados o nitrosados de los alcoholes acíclicos",,,
"        ","- Derivados solamente halogenados y sus sales",,,
"        ","- Derivados órgano-fosforados halogenados",,,
"        ","- Derivados órgano-fosforados no halogenados",,,
"        ","- Desechos de aceites",,,
"        ","- Desechos de disolventes orgánicos",,,
"        ","- Desgrasada, sin carbonizar",,,
"        ","- Desperdicios",,,
"        ","- Desperdicios y desechos",,,
"        ","- Desperdicios y desechos, de aceros aleados",,,
"        ","- Desperdicios y desechos, de pilas, baterías de pilas o acumuladores eléctricos; pilas, baterías de pilas o acumuladores eléctricos, inservibles",,,
"        ","- Despertadores",,,
"        ","- Dioles",,,
"        ","- Dispositivos semiconductores fotosensibles, incluidas las células fotovoltaicas, aunque estén ensambladas en módulos o paneles; diodos emisores de luz (LED)",,,
"        ","- Distinta de la de coníferas",,,
"        ","- Disyuntores",,,
"        ","- Electrodos",,,
"        ","- Elementos e isótopos y compuestos, radiactivos, excepto los de las subpartidas 284410, 284420 o 284430; aleaciones, dispersiones (incluido el cermet), productos cerámicos y mezclas, que contengan estos elementos, isótopos o compuestos; residuos radiactivos",,,
"        ","- Eléctricos",,,
"        ","- Embarcaciones inflables, incluso con casco rígido",,,
"        ","- En estado gaseoso",,,
"        ","- En estado húmedo, incluido el wet-blue",,,
"        ","- En estado seco (crust)",,,
"        ","- En polvo, gránulos o demás formas sólidas, con un contenido de materias grasas superior al 1,5 % en peso",,,
"        ","- En recipientes de contenido inferior o igual a 10 l",,,
"        ","- Encajes fabricados a máquina",,,
"        ","- Enrollados, simplemente laminados en frío",,,
"        ","- Erizos de mar (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus)",,,
"        ","- Esparcidores de estiércol y distribuidores de abonos",,,
"        ","- Espato flúor",,,
"        ","- Esquís acuáticos, tablas, deslizadores de vela y demás artículos para práctica de deportes acuáticos",,,
"        ","- Esquís para nieve y demás artículos para práctica del esquí de nieve",,,
"        ","- Estampados",,,
"        ","- Estampados",,,
"        ","- Estampados",,,
"        ","- Estampados",,,
"        ","- Estampados",,,
"        ","- Estampados",,,
"        ","- Estatuillas y demás artículos de adorno",,,
"        ","- Estatuillas y demás objetos de adorno",,,
"        ","- Estañados",,,
"        ","- Estearina solar y oleoestearina",,,
"        ","- Esterillas, esteras y cañizos, de materia vegetal",,,
"        ","- Extractos, esencias y concentrados de café y preparaciones a base de estos extractos, esencias o concentrados o a base de café",,,
"        ","- Faldas y faldas pantalón",,,
"        ","- Faldas y faldas pantalón",,,
"        ","- Ferrocromo",,,
"        ","- Ferromanganeso",,,
"        ","- Ferrosilicio",,,
"        ","- Fibras de carbono; manufacturas de fibras de carbono para usos distintos de los eléctricos; las demás manufacturas de grafito u otros carbonos, para usos distintos de los eléctricos",,,
"        ","- Filetes congelados de los demás pescados",,,
"        ","- Filetes congelados de pescados de las familias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae y Muraenolepididae",,,
"        ","- Filetes congelados de tilapias (Oreochromis spp.), bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anguilas (Anguilla spp.), percasdel Nilo (Lates niloticus) y de peces cabeza de serpiente (Channa spp.)",,,
"        ","- Filetes de los demás pescados, frescos o refrigerados",,,
"        ","- Filetes de pescado, secos, salados o en salmuera, sin ahumar",,,
"        ","- Filetes frescos o refrigerados de tilapias (Oreochromis spp.), bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anguilas (Anguilla spp.), percas del Nilo (Lates niloticus) y de peces cabeza de serpiente (Channa spp.)",,,
"        ","- Fluoruros",,,
"        ","- Forjadas o estampadas pero sin trabajar de otro modo",,,
"        ","- Fosfatos",,,
"        ","- Frenos y sus partes",,,
"        ","- Fresca o refrigerada",,,
"        ","- Frescos",,,
"        ","- Frutos de cáscara, cacahuates (cacahuetes, maníes) y demás semillas, incluso mezclados entre sí",,,
"        ","- Frutos de los géneros Capsicum o Pimenta",,,
"        ","- Fuentes luminosas de diodos emisores de luz (LED)",,,
"        ","- Galletas dulces (con adición de edulcorante); barquillos y obleas, incluso rellenos (gaufrettes, wafers) y waffles(gaufres)",,,
"        ","- Gases nobles",,,
"        ","- Gatos",,,
"        ","- Generadores de corriente alterna (alternadores), excepto los generadores fotovoltaicos",,,
"        ","- Generadores fotovoltaicos de corriente continua",,,
"        ","- Gradas (rastras), escarificadores, cultivadores, extirpadores, azadas, rotativas (rotocultores), escardadoras y binadoras",,,
"        ","- Granito",,,
"        ","- Granos aplastados o en copos",,,
"        ","- Grañones y sémola",,,
"        ","- Grupos electrógenos con motor de émbolo (pistón) de encendido por compresión (motores diésel o semi-diésel)",,,
"        ","- Gránulos, tasquiles (fragmentos) y polvo de piedras de las partidas 2515 o 2516, incluso tratados térmicamente",,,
"        ","- Guantes, mitones y manoplas",,,
"        ","- Guantes, mitones y manoplas",,,
"        ","- Guata de materia textil y artículos de esta guata",,,
"        ","- Guirnaldas eléctricas de los tipos utilizados en árboles de Navidad",,,
"        ","- Hafnio (celtio)",,,
"        ","- Helicópteros",,,
"        ","- Hidróxido de sodio (sosa o soda cáustica)",,,
"        ","- Hilados de alta tenacidad de nailon o demás poliamidas, incluso texturados",,,
"        ","- Hilados retorcidos o cableados, de fibras peinadas",,,
"        ","- Hilados retorcidos o cableados, de fibras peinadas",,,
"        ","- Hilados retorcidos o cableados, de fibras sin peinar",,,
"        ","- Hilados retorcidos o cableados, de fibras sin peinar",,,
"        ","- Hilados sencillos de fibras peinadas",,,
"        ","- Hilados sencillos de fibras peinadas",,,
"        ","- Hilados sencillos de fibras sin peinar",,,
"        ","- Hilados sencillos de fibras sin peinar",,,
"        ","- Hilados texturados",,,
"        ","- Hojas de sierra circulares (incluidas las fresas sierra)",,,
"        ","- Hongos y trufas",,,
"        ","- Hongos y trufas",,,
"        ","- Hormonas esteroideas, sus derivados y análogos estructurales",,,
"        ","- Hormonas polipeptídicas, hormonas proteicas y hormonas glucoproteicas, sus derivados y análogos estructurales",,,
"        ","- Hornos de resistencia (de calentamiento indirecto)",,,
"        ","- Hortalizas de vaina, estén o no desvainadas",,,
"        ","- Huevos fecundados para incubación",,,
"        ","- Hullas, incluso pulverizadas, pero sin aglomerar",,,
"        ","- Hígados, huevas, lechas, aletas, cabezas,colas, vejigas natatorias y demás despojos comestibles de pescado",,,
"        ","- Hígados, huevas, lechas, aletas, cabezas,colas, vejigas natatorias y demás despojos comestibles de pescado",,,
"        ","- Imanes permanentes y artículos destinados a ser imantados permanentemente",,,
"        ","- Imidas y sus derivados; sales de estos productos",,,
"        ","- Iminas y sus derivados; sales de estos productos",,,
"        ","- Industriales",,,
"        ","- Insectos",,,
"        ","- Iridio, osmio y rutenio",,,
"        ","- Jabón, productos y preparaciones orgánicos tensoactivos, en barras, panes, trozos o piezas troqueladas o moldeadas, y papel, guata, fieltro y tela sin tejer, impregnados, recubiertos o revestidos de jabón o de detergentes",,,
"        ","- Jengibre",,,
"        ","- Jeringas, agujas, catéteres, cánulas e instrumentos similares",,,
"        ","- Judías (porotos, alubias, frijoles, fréjoles) (Vigna spp., Phaseolus spp.)",,,
"        ","- Judías (porotos, alubias, frijoles, fréjoles) (Vigna spp., Phaseolus spp.)",,,
"        ","- Jugo de cualquier otra fruta o fruto u hortaliza",,,
"        ","- Jugo de cualquier otro agrio (cítrico)",,,
"        ","- Jugo de manzana",,,
"        ","- Jugo de naranja",,,
"        ","- Jugo de piña (ananá)",,,
"        ","- Jugo de toronja; jugo de pomelo",,,
"        ","- Jugo de uva (incluido el mosto)",,,
"        ","- Jugos y extractos vegetales",,,
"        ","- Juguetes que representen animales o seres no humanos",,,
"        ","- Lactamas",,,
"        ","- Lactosa y jarabe de lactosa",,,
"        ","- Lana peinada",,,
"        ","- Lana sucia, incluida la lavada en vivo",,,
"        ","- Las demás",,,
"        ","- Las demás",,,
"        ","- Las demás",,,
"        ","- Las demás",,,
"        ","- Las demás",,,
"        ","- Las demás",,,
"        ","- Las demás",,,
"        ","- Las demás",,,
"        ","- Las demás",,,
"        ","- Las demás",,,
